path,filename,modified,size,sha256,root
.,.#checkoutlist,2009-02-04 10:10:55,0.49KB,3f9864eba59be5e6027f31d33426b7494d053665fd5b0b7462394cbaad996f6c,CVSROOT
.,.#commitinfo,2009-02-04 10:10:55,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
.,.#config,2009-02-04 10:10:55,0.96KB,0a4b6a7ad145d705b624d02019f81d96a7d362baa06890c3b5e5ebcae0320b54,CVSROOT
.,.#cvsignore,2009-02-04 10:10:55,0.0KB,711fbf3fcf712d383a6d44ce5702acded55c27a9530111b35d82916a3e83a70a,CVSROOT
.,.#cvsmail,2009-02-04 10:10:55,2.83KB,85ccdce284c790b2c4244a13b6d1f6747883d8dc42c1965f077b5d9b8decddab,CVSROOT
.,.#cvswrappers,2009-02-04 10:10:55,1.7KB,e4ddc179dfa5226159df2199ed193c43ea0d54ea0111a165be22d5efd8064395,CVSROOT
.,.#editinfo,2009-02-04 10:10:55,1.0KB,248bb945b76fa2c1407e7b78a2d2bac7394f983a17d6232ca9b24e16bfa06792,CVSROOT
.,.#loginfo,2009-02-04 10:10:55,1.27KB,98eee22b2b3752dcafeaf1acdde301e315e7aa237dd39ff1d1a9467e4208989d,CVSROOT
.,.#modules,2009-02-04 10:10:55,1.21KB,09452b853ffa2666b9d50e55a90dfb8e84b7e453f094f0b522790cb65dead1a4,CVSROOT
.,.#notify,2009-02-04 10:10:55,0.55KB,c1a447186ed699eb9d09e5077f47413cb98f4a05392aa90911a390afc1c9d25a,CVSROOT
.,.#rcsinfo,2009-02-04 10:10:55,0.63KB,aa4da7146d99e36d20da4b0c6ec3f67a7ecd9b5b017fd869386a959a3fe5cdb5,CVSROOT
.,.#taginfo,2009-02-04 10:10:55,0.86KB,7f56b853e6a3fabc75914810566f6bdb3bb01710b37677ceccc6ed870b8c8d16,CVSROOT
.,.#verifymsg,2009-02-04 10:10:55,1.0KB,4ef8e65094b3777e481f52e37a66b4e7d1d656ab521ce5988f97b7741e7d690b,CVSROOT
.,checkoutlist,2009-02-04 10:10:55,0.49KB,3f9864eba59be5e6027f31d33426b7494d053665fd5b0b7462394cbaad996f6c,CVSROOT
.,"checkoutlist,v",2008-12-31 15:02:25,0.86KB,d14ad56f7ae865dab29ad7fc487f6b2310a8350231c314314867140d5b5a04b8,CVSROOT
.,commitinfo,2009-03-23 18:07:19,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
.,"commitinfo,v",2008-10-15 14:04:47,0.96KB,1b019580f7e654c9b52f0441f7ca49e415b3506a58990b8aee2f14891ea80d2d,CVSROOT
.,commitlog,2009-03-24 21:50:22,15062.36KB,8063c05566fb505d90e1d22181553aeddbe14ccb2c0ff71f6c3c92a79985b087,CVSROOT
.,config,2009-03-23 18:07:20,0.96KB,0a4b6a7ad145d705b624d02019f81d96a7d362baa06890c3b5e5ebcae0320b54,CVSROOT
.,"config,v",2008-10-15 14:04:47,1.18KB,98f544165a7204f523c4fd473bc00818a419e09f0de0a2eb1a78543b351fcd4c,CVSROOT
.,cvsignore,2009-03-23 18:07:19,0.0KB,711fbf3fcf712d383a6d44ce5702acded55c27a9530111b35d82916a3e83a70a,CVSROOT
.,"cvsignore,v",2008-10-15 14:04:47,0.23KB,c85746d48f538d0af6e9e413cf3730f03bde624bf6d98ef69630db46ce3f0203,CVSROOT
.,cvsmail,2009-03-23 18:07:20,2.83KB,85ccdce284c790b2c4244a13b6d1f6747883d8dc42c1965f077b5d9b8decddab,CVSROOT
