path,filename,modified,size,sha256,root
.,.#checkoutlist,2006-02-02 15:38:13,0.48KB,b192a9d5354d150f37d2ebdd9d619e1e3afa0729c0040d634c743b2f7e473502,CVSROOT
.,.#commitinfo,2006-02-02 15:38:13,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
.,.#config,2006-02-02 15:38:13,0.96KB,0a4b6a7ad145d705b624d02019f81d96a7d362baa06890c3b5e5ebcae0320b54,CVSROOT
.,.#cvswrappers,2006-02-02 15:38:13,1.21KB,bba832d6d821d703858994cdeed29acc047401b62b09720f738dde7639879209,CVSROOT
.,.#editinfo,2006-02-02 15:38:13,1.0KB,248bb945b76fa2c1407e7b78a2d2bac7394f983a17d6232ca9b24e16bfa06792,CVSROOT
.,.#loginfo,2006-02-02 15:38:13,1.14KB,798a89a22eb08975941fdb1e9209010afdd9c2a3167c274e906c5e57a8468e43,CVSROOT
.,.#modules,2006-02-02 15:38:13,1.33KB,a0c6342b4774d05cf46e9cfddd5357d0354a6e1f9feee74b1959786c43115b23,CVSROOT
.,.#notify,2006-02-02 15:38:13,0.55KB,c1a447186ed699eb9d09e5077f47413cb98f4a05392aa90911a390afc1c9d25a,CVSROOT
.,.#rcsinfo,2006-02-02 15:38:13,0.63KB,aa4da7146d99e36d20da4b0c6ec3f67a7ecd9b5b017fd869386a959a3fe5cdb5,CVSROOT
.,.#taginfo,2006-02-02 15:38:13,0.86KB,7f56b853e6a3fabc75914810566f6bdb3bb01710b37677ceccc6ed870b8c8d16,CVSROOT
.,.#verifymsg,2006-02-02 15:38:13,1.0KB,4ef8e65094b3777e481f52e37a66b4e7d1d656ab521ce5988f97b7741e7d690b,CVSROOT
.,checkoutlist,2006-02-02 17:25:56,0.48KB,b192a9d5354d150f37d2ebdd9d619e1e3afa0729c0040d634c743b2f7e473502,CVSROOT
.,"checkoutlist,v",2004-11-10 17:07:56,0.68KB,7c27a7fc0cfaa36b7429d315fdc93e6996a207dd7b4dd30a9e69733a80ce414f,CVSROOT
.,commitinfo,2006-02-02 17:25:56,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
.,"commitinfo,v",2004-11-10 17:07:56,0.94KB,ae4029bab9d315f16f9a635e51f7d83148bc65568deead014d82726d0f36a5f9,CVSROOT
.,commitlog,2014-04-02 15:23:32,3114.56KB,3a9ac9208e2a8aae15a0fe7d9b2af8b25bbad02a0f689be7242b3f0719e74051,CVSROOT
.,config,2006-02-02 17:25:56,0.96KB,0a4b6a7ad145d705b624d02019f81d96a7d362baa06890c3b5e5ebcae0320b54,CVSROOT
.,"config,v",2004-11-10 17:07:56,1.16KB,dabf443a058c66d8422c68db357dd3733826da75461f3d0ff2353ab0ffb9713f,CVSROOT
.,cvswrappers,2006-02-02 17:25:56,1.21KB,bba832d6d821d703858994cdeed29acc047401b62b09720f738dde7639879209,CVSROOT
.,"cvswrappers,v",2004-11-10 18:00:06,1.62KB,dbd74d4f6e7ea4795a73ff1e7ea05c53f7935a14b8792efa67bb9412909eb6d8,CVSROOT
.,editinfo,2006-02-02 17:25:56,1.0KB,248bb945b76fa2c1407e7b78a2d2bac7394f983a17d6232ca9b24e16bfa06792,CVSROOT
.,"editinfo,v",2004-11-10 17:07:56,1.2KB,681e2b67414051788f7b143eb8b5936b91bd52ed5fec552c25eafb50350f727b,CVSROOT
.,history,2014-04-28 14:14:40,32215.55KB,ad4024aa0e0a614611777a3303d84828c53349efa51b29b6d1ed5974aa6c1d8f,CVSROOT
.,loginfo,2006-02-02 17:25:56,1.14KB,798a89a22eb08975941fdb1e9209010afdd9c2a3167c274e906c5e57a8468e43,CVSROOT
.,"loginfo,v",2004-11-10 18:54:11,1.56KB,6c1a8f275194fcfa02e45f15ef8eec6d65471bfb44f9348d6797c8cf629d7c2e,CVSROOT
