path,filename,modified,size,sha256,root
PartnerN64-PC,"autorun.inf,v",2002-10-04 15:57:22,0.43KB,7040d667e9770bcf2414ef7ea9373854005052d95a16cdaf23f6284df3daa0fc,devsys
PartnerN64-PC,"DATA.TAG,v",2002-10-04 15:57:22,0.48KB,5dd94ad81351e41e3c02ab1a158f0ff1afbb035c6be8c3f4c7384137d7033bc9,devsys
PartnerN64-PC,"data1.cab,v",2002-10-04 15:57:24,4019.65KB,1d52e292b309d88d24ae8ad6650bb18fbadf9c5efbfe1fed1a2e55c3bd91d0c0,devsys
PartnerN64-PC,"lang.dat,v",2002-10-04 15:57:24,4.8KB,6959be360628f64fea7d1f055ea7f442090fb9bf841e6eb745eb4aa09408283c,devsys
PartnerN64-PC,"layout.bin,v",2002-10-04 15:57:24,0.8KB,d1722553c74df5b4153239f0c049c3efcf518b417027bec7eadd8be533385041,devsys
PartnerN64-PC,"N64.ICO,v",2002-10-04 15:57:24,1.16KB,fe633019a9a65bd6906bf4eccf36dcc5f4ea240a2af486779001b0b844407fd4,devsys
PartnerN64-PC,"os.dat,v",2002-10-04 15:57:24,0.79KB,88ca2de952bc06e73bdeeacd6854f1bce639f77091fb9a2b3adf0b9698d970f2,devsys
PartnerN64-PC,"Partner-N64PC-1[2].1.zip,v",2002-10-04 15:57:26,4768.72KB,987aa10972bf7127312d6546ea9733beb9d0e3e8136fc297fce4fbab3ceac1c4,devsys
PartnerN64-PC,"PARTNER.INF,v",2002-10-04 15:57:26,1.61KB,0dd7f91b2dec1dfb43c1bc7d56b79b68be12eea07d7209d33bf800fe5514b476,devsys
PartnerN64-PC,"partner.zip,v",2002-10-04 15:57:28,5593.47KB,24e24bce332e1af198abd04eb753eb91dae6f6698dd5f0090cafdbf9e8cb5580,devsys
PartnerN64-PC,"PT_IF.VXD,v",2002-10-04 15:57:28,11.56KB,086652fa049021eee1f2418b6d021c47fac5d6ef84120f08a950faae000df657,devsys
PartnerN64-PC,"SETUP.BMP,v",2002-10-04 15:57:28,1139.6KB,b96ce3fc7a7ab91adcdf55414d0a04da7215547190e6ea320829d273abb35341,devsys
PartnerN64-PC,"SETUP.EXE,v",2002-10-04 15:57:28,59.51KB,474ab0e2181df4bef66a18a7888e86001f2829e91028b456d8443c3e71373c80,devsys
PartnerN64-PC,"SETUP.INI,v",2002-10-04 15:57:28,0.45KB,1afcaebf72ecd3e290a0a321a0b440589a716f83d546c73cebb188c916df0a8e,devsys
PartnerN64-PC,"setup.ins,v",2002-10-04 15:57:28,66.34KB,905d1dc6394ce05fad649b420c64bc0ab213091ef057b4c40242286c3f558eb0,devsys
PartnerN64-PC,"setup.lid,v",2002-10-04 15:57:28,0.43KB,38b2702df6b82aae521877329a1eca9c84a942452424a23a812dc01bd16cd888,devsys
PartnerN64-PC,"_INST32I.EX_,v",2002-10-04 15:57:28,286.34KB,052c652d214601fa264dc78a6e962511c698ccb1f6ddfeae411f8b5556742672,devsys
PartnerN64-PC,"_ISDEL.EXE,v",2002-10-04 15:57:28,8.89KB,465c46b7bdde5128d798e1ab690a07e8818289c2be3d3744eb727e4c7469db86,devsys
PartnerN64-PC,"_SETUP.DLL,v",2002-10-04 15:57:28,11.4KB,4b6d2adaab2942f49a9e7bc3b80c3295bc882a283a8f4d67e2813d54d2ada23b,devsys
PartnerN64-PC,"_sys1.cab,v",2002-10-04 15:57:28,200.0KB,9cb5db5feee8e68cd3203e644c90ffb9922ecf6f92f1ef28b49399b61035fa8a,devsys
PartnerN64-PC,"_user1.cab,v",2002-10-04 15:57:28,45.0KB,ef2882d743bacdbce780c1c6cbef9bf024e5b4e9bc271b8ab5b8647d7a1e1ec3,devsys
PartnerN64-PC\CVS,fileattr,2002-10-04 16:11:09,0.45KB,418f7119e0aec29dd323595c3650a34fe22bd464fc522c56be8af2ab8ad5950f,devsys
