path,filename,modified,size,sha256,root
.,root_080708125011.tgz,2008-07-08 12:55:36,23175.09KB,d3e8a5ced6f6d2e0ca1e38b843cedf22a4f31bd93b9c8e211468942b7d580255,ios_patches_bwd_070808
.,root_080708125538.tgz,2008-07-08 13:00:58,24067.94KB,7907d859424d4998a681d32f5ea33ae2fbdc300ca0904c6f26fcf1505e6ade18,ios_patches_bwd_070808
.,root_080708130100.tgz,2008-07-08 13:06:23,24170.37KB,09d2a1c2b83c6b7f1030592e3c23b1eee9e9b5e67cf93ac4d58791129806ef4e,ios_patches_bwd_070808
.,root_080708130625.tgz,2008-07-08 13:13:33,33757.2KB,eda88c516fc7e331f3dc98d259d9131b204c559bc9295c06de4de4fd4d38dbcc,ios_patches_bwd_070808
.,root_080708131335.tgz,2008-07-08 13:20:42,33758.99KB,bb6e87169e5ff6c09da6c499ebbb1f43dd9b1e3565765538127ca82026c0b15c,ios_patches_bwd_070808
.,root_080708132044.tgz,2008-07-08 13:28:14,33914.23KB,06b3964cbeba99a54cde0ad4e6fbc95cf99bc1c0f0efbec5e42e9c7c1d7c6692,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335,BON_RM_128_8_ios_30_4_12_rc1_base_bwd_080708131335.zip,2008-07-08 13:20:41,585.95KB,e3898bb2dc84c73fcd1374fb609fb3072318280d6e35bc5ff60ab7f27fbfcfa1,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335,BON_RM_64_8_ios_30_4_12_rc1_base_bwd_080708131335.zip,2008-07-08 13:20:41,585.84KB,c7461ec028d765b54dbab8e4767f0a306375ff7f720c2568994d1f6d5e322587,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,boot1_compat.elf,2008-07-08 13:19:12,60.27KB,91a098db322991610d05b428aa8efe28a29dbb5a27eba58c023c8f0c53d2c6a0,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,boot1_compat.elf.od,2008-07-08 14:56:32,256.05KB,de960c1e2c20ed61a12f25932ea915754842b98222ed1785cda246289afcaa1b,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,boot1_compat.img,2008-07-08 13:19:12,18.17KB,5ef84cfcb5d8fb62ce2c443eb5755bcd5e2a05ca83458b42bf28bac980900ad2,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,boot1_compat_prod.elf,2008-07-08 13:19:12,63.6KB,f703badaad58b6cf284ff245ad66723b6cf3d6e20c144febf3af48c491f02738,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,boot1_compat_prod.elf.od,2008-07-08 14:56:33,291.91KB,e24319fb3f49c3b3b2f3c75400900156864581288fecbcec5506ff02066a9f02,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,boot1_compat_prod.img,2008-07-08 13:19:12,20.16KB,b851bb380b04fb36c28d7db90f181f6b393253266c754bad96dfb82e4136a16f,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,di_boot.elf,2008-07-08 13:18:13,93.88KB,a783685e7ecb2faa5bff1179361f97d07e8b969a706db525d89c06c6b06b6ca0,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,di_boot.elf.od,2008-07-08 14:56:33,488.02KB,4ccd2588e9dcf3c82ac7f08a5aae301061fbcefb597bbe31866a52831605489c,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,di_boot_prod.elf,2008-07-08 13:18:13,93.88KB,c6aa191d0263d8e11c2703b5090f2cf0eca3438aa8eb7ca21e4cded06a4df7b6,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,di_boot_prod.elf.od,2008-07-08 14:56:34,487.73KB,e56c0d8c969522b341bb798e76efdd53e38314135e326c34a9c21752f0591153,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,eemon.elf,2008-07-08 13:18:11,52.57KB,009a8d0db571ffa93d32ae2b153eddcb5452cdeaaf82c839cbc353994592a3e4,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,eemon.elf.od,2008-07-08 14:56:34,156.92KB,324783b90e5cd12ed2be1b80aa4e7ac619a33215b6e05ed07c6cd80ffd327297,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,es.elf,2008-07-08 13:15:55,103.94KB,5b422cb45d21fe3518a6fdd4bc47e8c0f48596e1e8a992cdde01667340598cd0,ios_patches_bwd_070808
8_ios_30_4_12_rc1_base_bwd_080708131335\rvl-128,es.elf.od,2008-07-08 14:56:35,797.13KB,b644d4c9a25856435bce9c4dd5cc593757dd33f2a8da7667d7f3eb40f471a9b4,ios_patches_bwd_070808
