path,filename,modified,size,sha256,root
.,NPDP-GDEV_v130a.zip,2006-01-02 00:41:28,7052.14KB,9acd684017a30cccd96986f3403db2324e19ea44ba3cb743cb4ca7f5731e5ac8,Drivers
Barnacle2,2154 Release Info.DOC,2004-04-20 10:06:40,8.43KB,95ed03a38135aaefb76576e1df65465036536a8cbd5b845463772a288898c7bf,Drivers
Barnacle2,905 Release Info.DOC,2004-04-20 10:07:12,5.82KB,21ce42847c485f68bdcd989a593983a61d5c5600dc3c6ab096a6f27549f25b42,Drivers
Barnacle2,COMPORT.PDF,2003-04-10 15:00:06,5.26KB,9eda2fa640a71266a5ab8ed8336596c9b0b96bc3f00fecc453f7397ab7d187ec,Drivers
Barnacle2,FTCOMMS.VXD,2003-12-17 17:38:56,23.02KB,c718f46c93ea80b58f81aa369055960359e108149ad22bda45068d22e682b53c,Drivers
Barnacle2,ftdibus.cat,2004-06-11 19:15:44,10.25KB,60f94083813a730fc1f52d6a240f58fe170302a0cbe2bc8f223f7dcd02eced98,Drivers
Barnacle2,FTDIBUS.INF,2004-04-16 16:12:36,3.89KB,f8d01eccf476aa0b4c44336dfd462de5e4c78a32bc17fe84c29a92dad5bef7c0,Drivers
Barnacle2,ftdibus.sys,2004-04-20 10:04:56,23.64KB,0d2e96d6983f791b81177f2acd6aff99a8d04f50133e64bdafd097aa253fa7dd,Drivers
Barnacle2,FTDIBUS_OPTIONS.rtf,2004-01-19 12:53:34,3.79KB,53e3f4699a1d93d1026dc38c65cc48aff2021c4ca8f5d0967dcf5af35af3a5d7,Drivers
Barnacle2,ftdiport.cat,2004-06-11 19:16:12,10.26KB,2844e1e24beef638d498c102202669034a2c0c2b2cb8bc78425bb9f6851fcfc7,Drivers
Barnacle2,FTDIPORT.INF,2004-04-16 16:11:46,4.68KB,f1d9461314231a4a9e14b52953870aa2387a7f63e9ba24e89476a317a7a9e9f5,Drivers
Barnacle2,FTDIUN2K.INI,2003-04-10 15:00:06,0.09KB,0ee6abb5f459a1262254cca9620312ec9725563228f12d9bdba13933f305af50,Drivers
Barnacle2,FTDIUNIN.EXE,2003-04-10 15:00:06,404.5KB,009550a679de51b3e5336d9ab2a0f4cd3dbfa845aa8594e35815557f2b5194dc,Drivers
Barnacle2,FTDIUNIN.INI,2003-04-10 15:00:06,0.09KB,dd951f145c3b9baafa45802a07417126642eb5e10ba860406c2a9a275a645ab3,Drivers
Barnacle2,FTLang.dll,2004-04-16 15:15:40,36.0KB,52d67b94ada2bbd47779ef811e7cae727864e59d5bd523c446ea153c16195ed3,Drivers
Barnacle2,FTSENUM.SYS,2003-12-17 17:38:58,24.72KB,20f9f35278e08d8d102dd10c53d033569f09eea5983762b0512dc6b7af5c9224,Drivers
Barnacle2,FTSENUM.VXD,2003-12-17 17:38:56,7.55KB,33bc22cdb6a10c0c29f16c8ba6f27a7f52287294c4477e95bf94c8f2ad2de320,Drivers
Barnacle2,ftser2k.sys,2004-04-20 10:05:10,56.06KB,9f39d3493832c058021eaa94448066fd70707aaf6f33550b4d46e2c16d325238,Drivers
