path,filename,modified,size,sha256,root
.,.#checkoutlist,2005-08-02 00:06:47,0.48KB,b9ac82395cb20412addade190d0c71b3186f60fa95e4ef8bc56e8b2bb59107d6,CVSROOT
.,.#commitinfo,2005-08-02 00:06:47,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
.,.#config,2005-08-02 00:06:47,0.97KB,44c213604fc4271f291377d42d26c969645ba2950ee8164df65a0cf47c2adea3,CVSROOT
.,.#cvswrappers,2005-08-02 00:06:47,0.59KB,26a6f9c5d8b2fa91a1692cd1dcf4f9a3f9d06d5de4d91b79acb07f13e2f90dad,CVSROOT
.,.#editinfo,2005-08-02 00:06:47,1.0KB,248bb945b76fa2c1407e7b78a2d2bac7394f983a17d6232ca9b24e16bfa06792,CVSROOT
.,.#loginfo,2005-08-02 00:06:47,1.14KB,ba0facfc9663f125fd1a5f4343e71142a6518a275cd73b89759452f0ccf1b3dd,CVSROOT
.,.#modules,2005-08-02 00:06:47,1.12KB,396d04327deb8f03a7f8165c97b34550f0310657c1aac8472623670fa1808cad,CVSROOT
.,.#notify,2005-08-02 00:06:47,0.55KB,c1a447186ed699eb9d09e5077f47413cb98f4a05392aa90911a390afc1c9d25a,CVSROOT
.,.#rcsinfo,2005-08-02 00:06:47,0.63KB,aa4da7146d99e36d20da4b0c6ec3f67a7ecd9b5b017fd869386a959a3fe5cdb5,CVSROOT
.,.#taginfo,2005-08-02 00:06:47,0.86KB,7f56b853e6a3fabc75914810566f6bdb3bb01710b37677ceccc6ed870b8c8d16,CVSROOT
.,.#verifymsg,2005-08-02 00:06:47,1.0KB,4ef8e65094b3777e481f52e37a66b4e7d1d656ab521ce5988f97b7741e7d690b,CVSROOT
.,checkoutlist,2005-08-02 00:06:47,0.48KB,b9ac82395cb20412addade190d0c71b3186f60fa95e4ef8bc56e8b2bb59107d6,CVSROOT
.,"checkoutlist,v",2005-08-02 00:06:47,0.68KB,bb21010ded57cfc52c51afb9e13ce269100992d784ee170a386c420c580ac718,CVSROOT
.,commitinfo,2005-08-02 00:06:47,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
.,"commitinfo,v",2005-08-02 00:06:47,0.94KB,a191e501455ec1d45d1abd11411659074ac5a7ee4c8bb1507e750c5436137dce,CVSROOT
.,config,2005-08-02 00:06:47,0.97KB,44c213604fc4271f291377d42d26c969645ba2950ee8164df65a0cf47c2adea3,CVSROOT
.,"config,v",2005-08-02 00:06:47,1.16KB,1d45bdebc4f2d64620cfe2585c48c37404e3af0acaa9b751c60c01b66a3d7a22,CVSROOT
.,cvswrappers,2005-08-02 00:06:47,0.59KB,26a6f9c5d8b2fa91a1692cd1dcf4f9a3f9d06d5de4d91b79acb07f13e2f90dad,CVSROOT
.,"cvswrappers,v",2005-08-02 00:06:47,0.78KB,59a98046b74b1289d42c7b57995960e65303ecaf2bcb08f5c87eef9e6563456d,CVSROOT
.,editinfo,2005-08-02 00:06:47,1.0KB,248bb945b76fa2c1407e7b78a2d2bac7394f983a17d6232ca9b24e16bfa06792,CVSROOT
.,"editinfo,v",2005-08-02 00:06:47,1.2KB,f1d0b65e93db2aba3fd5e848391735d1faa5fac38d89f38be39846d01b3902a9,CVSROOT
.,history,2006-06-06 02:18:53,2734.98KB,dcf6557022f07ceb340328dd6ac934c93cb86b368748a2aca77ab7b9d5d393f5,CVSROOT
.,loginfo,2005-08-02 00:06:47,1.14KB,ba0facfc9663f125fd1a5f4343e71142a6518a275cd73b89759452f0ccf1b3dd,CVSROOT
.,"loginfo,v",2005-08-02 00:06:47,1.34KB,e3e1c079b8bbdd5e1a99b76fefb031f4adf9afdf981bb7ce0d2723e047ea7725,CVSROOT
.,modules,2005-08-02 00:06:47,1.12KB,396d04327deb8f03a7f8165c97b34550f0310657c1aac8472623670fa1808cad,CVSROOT
.,"modules,v",2005-08-02 00:06:47,1.32KB,47ee27c185c7fc1eb67ad371ab6e72157fa2fbfb023b758a85a9b69f340eea5a,CVSROOT
.,notify,2005-08-02 00:06:47,0.55KB,c1a447186ed699eb9d09e5077f47413cb98f4a05392aa90911a390afc1c9d25a,CVSROOT
.,"notify,v",2005-08-02 00:06:47,0.75KB,92dd6da4101f9ed7eaca2a2ebeb17c92c76adc3f208dddb888f48975bd0ea721,CVSROOT
.,rcsinfo,2005-08-02 00:06:47,0.63KB,aa4da7146d99e36d20da4b0c6ec3f67a7ecd9b5b017fd869386a959a3fe5cdb5,CVSROOT
.,"rcsinfo,v",2005-08-02 00:06:47,0.83KB,626ddbfd1b2d2f425bf99315c8df2ea72b80067f6404f9cdc33b9d6288769f66,CVSROOT
.,taginfo,2005-08-02 00:06:47,0.86KB,7f56b853e6a3fabc75914810566f6bdb3bb01710b37677ceccc6ed870b8c8d16,CVSROOT
.,"taginfo,v",2005-08-02 00:06:47,1.05KB,07722d38c1a27b005aed9e94bc7d1b0c4d9f0c75140df34f8f86843b7f6ca22a,CVSROOT
.,val-tags,2005-09-27 21:53:59,0.04KB,59a2849c52beade8a0afbb2fdb7cdb7ff740aa540afc064f6cb5dfa10268b904,CVSROOT
.,verifymsg,2005-08-02 00:06:47,1.0KB,4ef8e65094b3777e481f52e37a66b4e7d1d656ab521ce5988f97b7741e7d690b,CVSROOT
.,"verifymsg,v",2005-08-02 00:06:47,1.2KB,9c30e5d888d6bba52708d32b272449f7ebc75a99736f92d6c6ffd4566b32c19c,CVSROOT
CVSROOT,.#checkoutlist,2006-01-04 18:33:57,0.48KB,b9ac82395cb20412addade190d0c71b3186f60fa95e4ef8bc56e8b2bb59107d6,CVSROOT
CVSROOT,.#commitinfo,2006-01-04 18:33:57,0.74KB,4ddf26cc1a911f9297dd940af3c53185a1d64a82d30082762e26c36858c4e409,CVSROOT
CVSROOT,.#config,2006-01-04 18:33:57,0.97KB,44c213604fc4271f291377d42d26c969645ba2950ee8164df65a0cf47c2adea3,CVSROOT
